date,AK,AL,AR,AZ,DE,GA,ID,KS,KY,LA,MA,MD,ME,MI,MN,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV
6/17/12,0.268096515,1.057946622,0.160685592,0.697134005,0,0.879528222,0.959890298,0.040241449,0.009974565,1.243360695,0.714846494,8.116385911,0.410722006,0.64231738,0.383141763,0.715033136,0.224719101,0.235294118,0,0.141392718,1.041414386,0.772141147,0.224874589,0.093308451,0.713860797,0.721045516,0.02334812,0.261643119,0,0.583758991,1.680017455,1.410233231,0.955853214,1.310344828,0.350443208,0.512820513,0.233372229
6/24/12,0.428036383,3.611615245,0.199733688,0.733859005,0,0.830606595,0.709975151,0.039447732,0,1.191459243,0.709729205,5.170068027,0.573248408,0.178497872,0.898801598,0.705763737,0,0.224971879,0.084566596,0.153092468,1.981424149,0.323749326,0.155581486,0.147874307,0.530347672,0.632436488,0.026322717,0.211352657,0.189753321,0.521574206,2.776025237,1.269067267,0.937844163,1.25698324,0.367985281,0.139470014,0.134622445
7/1/12,0.380434783,3.618152085,0,0.545767905,0,0.981228669,0.70230199,0.171526587,0.045245944,1.167438614,0.810508664,6.779661017,0.539160045,0.828325483,1.025471386,0.891886013,0,0.974512744,0.043084877,0.343495062,1.214689266,0.374531835,0.297960119,0.149303252,0.293901543,0.502219108,0,0.254730713,0,0.426780475,1.856382213,1.135410619,0.871452841,1.111993646,0.379672897,0.373599004,0.118063754
7/8/12,0.326797386,3.427307905,0,0.50659376,0,0.820067535,0.608882521,0.107411386,0.011442302,1.177849038,0.79286847,7.547169811,0.382360438,0.58844298,0.76537345,0.849009489,0,0.293255132,0,0.057653503,1.644736842,0.173595249,0.138720305,0.10265623,0.264410365,0.514165792,0,0.377030162,0.365630713,0.059101655,1.527241808,1.020534389,0.720540092,0.964010283,0.275166246,0.462573591,0.173272688
7/15/12,0.304259635,3.025146531,0,0.507652675,0,0.842696629,0.8,0,0.005979431,1.060767591,0.730055414,6.712328767,0.410284464,0.436840189,0.467897063,0.761937013,0,0.359453631,0.043516101,0.03591954,2.265265923,0.34878775,0.124977683,0.04049676,0.383386582,0.612573885,0,0.244200244,0.530973451,0,1.50484041,1.04715286,0.787559646,1.142041399,0.274348423,0.158646219,0.11033874
7/22/12,0.292397661,3.198458574,0.212916962,0.62353227,0,0.85180132,0.651465798,0.159553251,0.005692492,0.988002823,0.605759233,5.693069307,0.569306931,0.513141427,0.676956404,0.916870416,0,0.549073439,0,0.193517175,1.390413465,0.297547246,0.088668204,0.258297817,0.344115623,0.758871313,0,0.116110305,0.383141763,0.23747597,1.423742036,1.223359732,0.734681737,1.140939597,0.295454546,0.180668473,0.149566258
7/29/12,0.262881178,3.328869332,0.806451613,1.13044442,0,0.777748972,0.739247312,0.111399926,0.065466448,1.234500761,0.666173205,6.634499397,0.505722651,0.541190619,0.709906421,0.065288357,0.673076923,1.03021978,0.081532817,0.115008626,1.80332488,0.147943584,0.170486835,0.013825522,0.184956843,0.581915846,0,0.344234079,0.631578947,0.06281407,1.459008112,1.103900043,0.748640225,1.089918256,0.201380898,0.551931761,0.134938759
8/5/12,0.272034821,2.695085432,0.431034483,1.238541057,0,1.009919494,0.625,0.074738416,0.019074263,1.32595001,0.725729152,6.746031746,0.43334183,0.356158088,0.659898477,0.719547713,0.118483412,0.530785563,0,0.054884742,2.192118227,0.495265841,0.092302012,0.190269095,0.453661698,0.505438963,0,0.058394161,0.613496933,0.037960268,1.449443414,0.961180702,0.739357026,1.176470588,0.320366133,0.646054453,0.245124161
8/12/12,0.098039216,3.379653457,0,1.101091599,0.113507378,1.109381727,0.531561462,0.068306011,0.027165055,1.117403949,0.66613376,5.633802817,0.356960734,0.509696668,0.278862242,0.68954458,0.08361204,0.540054005,0.037174721,0.051229508,1.441268316,0.618151166,0.125044659,0.063107409,0.316055626,0.610094287,0.025713551,0,0.606060606,0.445736434,1.427471258,1.249620868,0.785320547,1.449275362,0.247580464,0,0.286093798
8/19/12,0.149775337,4.090134444,0,1.242888403,0.284900285,1.405295316,0.708078532,0.192369349,0.026183494,1.70863756,0.545568375,5.598755832,0.342917436,0.58986397,0.475059382,0.600223339,0.354295837,2.254850551,0,0.331491713,2.148106275,0.475996192,0.061208875,0.196911597,0.285306705,0.738167608,0,0.069013113,0.626304802,0.269638684,1.474104633,0.982697293,0.772323165,1.716738197,0.290170475,0.075159714,0.269316493
8/26/12,0.150526844,4.860639021,0,1.489556462,0.563380282,1.304676667,0.849772382,0.090307044,0.04616592,1.979551882,0.604952779,5.641025641,0.292153589,0.503888706,0.300995601,0.832661832,0.219298246,3.183183183,0.073800738,0.466562986,2.447788008,0.594978958,0.083692013,0.301901983,0.453172205,0.559332243,0,0.288957688,0.383877159,0.272633261,1.429777356,1.149834045,0.906959047,1.168907072,0.16003658,0.09569378,0.608885929
9/2/12,0.611620795,4.883265015,0,1.263657957,0.174216028,0.787488096,1.263976665,0.181488203,0.111669458,1.592508333,0.717645347,6.31276901,0.311675857,0.618406693,0.431143799,0.710156895,0,3.655913979,0.086880973,0.609537469,2.146690519,0.623900176,0.117768291,0.29701794,0.461183705,0.603787394,0.04178855,0.158227848,0.662251656,0.752309304,1.752845725,1.66558384,0.934875833,1.606683805,0.341565949,0.200534759,0.318501171
