state_acronym,scf_name,_TYPE_,_FREQ_,meanpop,scf_id,state_name,pop,scf_lat,scf_long,scf_elev,scf_persons_per_house,scf_income_per_house,N_zip3,FIPS,state_pop2000,state_lat,state_long,NCHS_id,city_id
MN,St. Paul,3,2,1500713.3815,386,Minnesota,1413534,44.9971616,-93.00443792,946.309262,2.770625494,52365.56544,3,27,4919479,45.210782,-93.583003,24,289
FL,St. Petersbur,3,1,742312.1694,387,Florida,740459,27.84877836,-82.73142011,25.09836066,2.23,38832.76316,1,12,15982378,27.79585,-81.634622,10,290
CT,Stamford,3,1,567154.4617,388,Connecticut,508057,41.1671536,-73.4587184,155.254386,2.71,82871.10606,2,9,3405565,41.494852,-72.874365,7,291
NY,Staten Island,3,1,469202.7298,389,New York,443728,40.5894775,-74.14565171,81.85714286,2.91,53403.58333,1,36,18976457,41.507548,-74.645228,33,292
CA,Stockton,3,1,1454216.446,390,California,1292597,37.80048792,-120.7838697,931.7668269,2.882995192,37889.97314,2,6,33871648,35.458606,-119.355165,5,293
GA,Swainsboro,3,1,212817.2681,391,Georgia,203372,32.41898159,-82.12534953,226.4693878,2.83244898,27538.90476,1,13,8186453,33.332208,-83.868887,11,294
NY,Syracuse,3,1,787266.0464,392,New York,788223,43.02342579,-76.20047789,644.457231,2.73388448,40115.84444,3,36,18976457,41.507548,-74.645228,33,295
WA,Tacoma,3,1,1067830.835,393,Washington,1001616,47.34932781,-122.5902566,397.4197531,2.692407407,42055.49242,2,53,5894121,47.341728,-121.624501,48,296
FL,Tallahassee,3,1,403366.3871,394,Florida,374489,30.33337193,-84.26525105,107.5614035,2.756842105,32557.47222,1,12,15982378,27.79585,-81.634622,10,297
FL,Tampa,3,1,1900669.94,395,Florida,1679972,28.11821447,-82.45764472,44.18744507,2.455427495,39677.17522,3,12,15982378,27.79585,-81.634622,10,298
TX,Temple,3,1,418960.6976,396,Texas,394351,31.09530243,-97.52969064,749.4642857,3.008392857,36819.64286,1,48,20851820,30.943149,-97.388631,44,299
IN,Terre Haute,3,1,183345.2359,397,Indiana,185078,39.46397339,-87.31804023,572.5714286,2.62625,34892.51351,1,18,6080485,40.163935,-86.261515,15,300
TX,Texarkana,3,2,254129.5988,398,Texas,250736,33.46670983,-94.08829358,344.2575188,2.660300752,27812.30492,2,48,20851820,30.943149,-97.388631,44,301
LA,Thibodaux,3,1,267585.1935,399,Louisiana,262543,29.67502637,-90.78345568,6.210526316,2.995526316,33460.3871,1,22,4468976,30.69927,-91.457133,19,302
